,eurogrid_0250_1,pred
0,1kmN3032E5026_11,0.4785057
1,1kmN3032E5026_12,0.29346198
2,1kmN3032E5026_13,0.30752933
3,1kmN3032E5026_14,0.54720974
4,1kmN3032E5026_21,0.29346198
8,1kmN3032E5026_31,0.29346198
9,1kmN3032E5026_34,0.29346198
13,1kmN3032E5027_13,0.29346198
14,1kmN3032E5027_14,0.29346198
15,1kmN3032E5027_31,0.29346198
16,1kmN3032E5027_33,0.30752933
17,1kmN3032E5027_34,0.30752933
18,1kmN3032E5027_41,0.29346198
19,1kmN3032E5027_42,0.46477702
20,1kmN3032E5027_43,0.47568065
21,1kmN3032E5027_44,0.43870062
23,1kmN3032E5032_11,0.6170048
24,1kmN3032E5032_12,0.29346198
25,1kmN3032E5032_13,0.29346198
26,1kmN3032E5032_14,0.29346198
27,1kmN3032E5032_21,0.29346198
28,1kmN3032E5032_41,0.4785057
29,1kmN3032E5032_44,0.30752933
31,1kmN3032E5033_44,0.6170048
36,1kmN3033E5025_11,0.36216596
37,1kmN3033E5025_12,0.36216596
38,1kmN3033E5025_13,0.29346198
39,1kmN3033E5025_14,0.36216596
44,1kmN3033E5025_41,0.29346198
45,1kmN3033E5025_42,0.29346198
46,1kmN3033E5025_43,0.36216596
47,1kmN3033E5025_44,0.29346198
48,1kmN3033E5026_11,0.29346198
49,1kmN3033E5026_12,0.30752933
50,1kmN3033E5026_13,0.36216596
51,1kmN3033E5026_14,0.29346198
52,1kmN3033E5026_21,0.54720974
53,1kmN3033E5026_22,0.49257305
54,1kmN3033E5026_23,0.29346198
55,1kmN3033E5026_24,0.4785057
56,1kmN3033E5026_31,0.4785057
60,1kmN3033E5026_41,0.29346198
61,1kmN3033E5026_42,0.29346198
62,1kmN3033E5026_43,0.29346198
63,1kmN3033E5026_44,0.38824233
65,1kmN3033E5027_12,0.4785057
68,1kmN3033E5027_21,0.49257305
69,1kmN3033E5027_22,0.4785057
70,1kmN3033E5027_23,0.4785057
71,1kmN3033E5027_24,0.30752933
72,1kmN3033E5027_31,0.6135617
73,1kmN3033E5027_32,0.4785057
74,1kmN3033E5027_33,0.29346198
75,1kmN3033E5027_34,0.36216596
77,1kmN3033E5027_42,0.4785057
78,1kmN3033E5027_43,0.3741055
80,1kmN3033E5028_11,0.4785057
81,1kmN3033E5028_12,0.4785057
82,1kmN3033E5028_13,0.49257305
83,1kmN3033E5028_14,0.29346198
